GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PFMHT010-01-PE,com.bbva.pfmh,PFMHT01001PETransaction.InvocationOutcome,0,27,0,0,0,8,0,5,0,5
PFMHT010-01-PE,com.bbva.pfmh,PFMHT01001PETransaction.PageWindow,1,93,3,7,1,20,3,6,0,4
PFMHT010-01-PE,com.bbva.pfmh,PFMHT01001PETransaction,40,1275,52,214,13,313,52,125,0,44
PFMHT010-01-PE,com.bbva.pfmh,AbstractPFMHT01001PETransaction,5,33,0,0,2,13,1,7,1,7
PFMHT010-01-PE,com.bbva.pfmh,PFMHT01001PETransaction.ResponseSummary,2,28,1,3,0,7,1,5,0,4
